Name,Ticker,"Sub-Sector","Market Cap"
Ajanta Pharma Ltd,AJANTPHARM,"Pharmaceuticals","33502.73693184"
Central Bank of India Ltd,CENTRALBK,"Public Banks","33363.465095964"
Tata Elxsi Ltd,TATAELXSI,"Software Services","33315.4884692"
NBCC (India) Ltd,NBCC,"Construction & Engineering","32956.2"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","32897.57911848"
ACC Ltd,ACC,"Cement","32586.723748390003"
KPR Mill Ltd,KPRMILL,"Textiles","32065.57134"
Apollo Tyres Ltd,APOLLOTYRE,"Tires & Rubber","32039.261163"
Aster DM Healthcare Ltd,ASTERDM,"Hospitals & Diagnostic Centres","31943.006577045002"
Go Digit General Insurance Ltd,GODIGIT,"Insurance","31934.618678184997"
Global Health Ltd,MEDANTA,"Hospitals & Diagnostic Centres","31564.89826"
Metro Brands Ltd,METROBRAND,"Footwear","31204.589329140003"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","31145.342940129998"
Exide Industries Ltd,EXIDEIND,"Batteries","31037.75"
Central Depository Services (India) Ltd,CDSL,"Stock Exchanges & Ratings","30988.43"
AWL Agri Business Ltd,AWL,"FMCG - Foods","30691.730566525"
Delhivery Ltd,DELHIVERY,"Logistics","30466.200681225"
Nippon India ETF Nifty IT,ITBEES,"Equity","30413.5347939"
ITI Ltd,ITI,"Telecom Equipments","30228.737503965003"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","29973.16820475"
Motherson Sumi Wiring India Ltd,MSUMI,"Cables","29928.690145673998"
LIC Housing Finance Ltd,LICHSGFIN,"Home Financing","29673.148535"
Navin Fluorine International Ltd,NAVINFLUOR,"Specialty Chemicals","29589.6778863"
National Highways Infra Trust,NHIT,"Roads","29246.44406"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","29181.4466615"
SJVN Ltd,SJVN,"Renewable Energy","29135.50142745"
Inventurus Knowledge Solutions Ltd,IKS,"Health Care Equipment & Supplies","28965.272390559996"
Mindspace Business Parks REIT,MINDSPACE,"Real Estate","28689.50324323"
Garden Reach Shipbuilders & Engineers Ltd,GRSE,"Shipbuilding","28594.47024"
TVS Holdings Ltd,TVSHLTD,"Auto Parts","28509.0577464"
J B Chemicals and Pharmaceuticals Ltd,JBCHEPHARM,"Pharmaceuticals","28488.54285816"
ZF Commercial Vehicle Control Systems India Ltd,ZFCVINDIA,"Auto Parts","28009.4312928"
Gillette India Ltd,GILLETTE,"FMCG - Personal Products","27589.9032339"
Aegis Vopak Terminals Ltd,AEGISVOPAK,"Oil & Gas - Storage & Transportation","27478.1889272"
Pine Labs Ltd,PINELABS,"Software Services","27276.157059258"
Gland Pharma Ltd,GLAND,"Pharmaceuticals","27242.47454305"
Kaynes Technology India Ltd,KAYNES,"Electrical Components & Equipments","27219.4212567"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","27122.570925"
Indraprastha Gas Ltd,IGL,"Gas Distribution","27094.2309648"
Ather Energy Ltd,ATHERENERG,"Two Wheelers","27078.011902455"
Emcure Pharmaceuticals Ltd,EMCURE,"Pharmaceuticals","27070.9597116"
Tata Technologies Ltd,TATATECH,"IT Services & Consulting","26557.94759982"
Manappuram Finance Ltd,MANAPPURAM,"Consumer Finance","26523.032233215"
Syngene International Ltd,SYNGENE,"Labs & Life Sciences Services","26298.331917220003"
PTC Industries Ltd,PTCIL,"Iron & Steel","26142.5076913"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","26075.57722235"
IRB Infrastructure Developers Ltd,IRB,"Construction & Engineering","25490.619"
IIFL Finance Ltd,IIFL,"Investment Banking & Brokerage","25481.783525475"
Mangalore Refinery and Petrochemicals Ltd,MRPL,"Oil & Gas - Refining & Marketing","25414.434865277"
Karur Vysya Bank Ltd,KARURVYSYA,"Private Banks","25403.808235228"
Asahi India Glass Ltd,ASAHIINDIA,"Auto Parts","25378.0019636"
New India Assurance Company Ltd,NIACL,"Insurance","25349.536"
Aegis Logistics Ltd,AEGISLOG,"Oil & Gas - Storage & Transportation","25300.08"
Anand Rathi Wealth Ltd,ANANDRATHI,"Asset Management","25184.3093239"
Ramco Cements Limited,RAMCOCEM,"Cement","25122.6058416"
Brookfield India Real Estate Trust,BIRET,"Real Estate","25084.181276649"
Krishna Institute of Medical Sciences Ltd,KIMS,"Hospitals & Diagnostic Centres","25058.700804375"
Affle 3i Ltd,AFFLE,"Advertising","25046.15332748"
HBL Engineering Ltd,HBLENGINE,"Batteries","24878.2464035"
Nippon India Silver ETF,SILVERBEES,"Equity","24813.62329735"
Sagility Ltd,SAGILITY,"Specialized Finance","24637.831437619"
PNB Housing Finance Ltd,PNBHOUSING,"Home Financing","24586.79817594"
Himadri Speciality Chemical Ltd,HSCL,"Commodity Chemicals","24345.56193225"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","24076.09959732"
Nexus Select Trust,NXST,"Real Estate","23941.545"
KIOCL Ltd,KIOCL,"Iron & Steel","23924.12189404"
Firstsource Solutions Ltd,FSL,"Outsourced services","23689.14619533"
Dr. Lal PathLabs Ltd,LALPATHLAB,"Hospitals & Diagnostic Centres","23489.22499585"
Amber Enterprises India Ltd,AMBER,"Home Electronics & Appliances","23396.4423384"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","23339.75371564"
Wockhardt Ltd,WOCKPHARMA,"Pharmaceuticals","23306.25179967"
Pfizer Ltd,PFIZER,"Pharmaceuticals","23113.12663836"
Sumitomo Chemical India Ltd,SUMICHEM,"Commodity Chemicals","23063.02873188"
Piramal Pharma Ltd,PPLPHARMA,"Pharmaceuticals","23039.86475687"
EIH Ltd,EIHOTEL,"Hotels, Resorts & Cruise Lines","22957.119121220003"
Force Motors Ltd,FORCEMOT,"Four Wheelers","22946.460273"
Shyam Metalics and Energy Ltd,SHYAMMETL,"Iron & Steel","22764.64866984"
Angel One Ltd,ANGELONE,"Investment Banking & Brokerage","22671.68222762"
Sun Tv Network Ltd,SUNTV,"TV Channels & Broadcasters","22545.5811102"
Timken India Ltd,TIMKEN,"Industrial Machinery","22475.3577192"
Emami Ltd,EMAMILTD,"FMCG - Personal Products","22466.655"
Jyoti CNC Automation Ltd,JYOTICNC,"Industrial Machinery","22362.513029679998"
Bharat 22 ETF,ICICIB22,"Equity","22343.20521979"
Aditya Birla Sun Life AMC Ltd,ABSLAMC,"Asset Management","22248.856709125"
UTI BSE Sensex ETF,SENSEXBETA,"Equity","22219.656304972"
Astrazeneca Pharma India Ltd,ASTRAZEN,"Pharmaceuticals","22197.5"
CESC Ltd,CESC,"Power Generation","22082.67779337"
eClerx Services Limited,ECLERX,"Outsourced services","21967.491034439998"
Inox Wind Ltd,INOXWIND,"Heavy Electrical Equipments","21850.110783546"
City Union Bank Ltd,CUB,"Private Banks","21695.244297495003"
Hatsun Agro Product Ltd,HATSUN,"FMCG - Foods","21631.08430548"
JSW Holdings Ltd,JSWHL,"Asset Management","21552.49078"
Brigade Enterprises Ltd,BRIGADE,"Real Estate","21517.070515364998"
National Securities Depository Ltd,NSDL,"Stock Exchanges & Ratings","21455"
Welspun Corp Ltd,WELCORP,"Iron & Steel","21278.269950320002"
Redington Ltd,REDINGTON,"Technology Hardware","21182.178207945002"
Aadhar Housing Finance Ltd,AADHARHFC,"Consumer Finance","20995.7415008"
Tenneco Clean Air India Ltd,TENNIND,"Auto Parts","20844.144538304998"
Eris Lifesciences Ltd,ERIS,"Pharmaceuticals","20785.33539769"
Cohance Lifesciences Ltd,COHANCE,"Pharmaceuticals","20557.2452679"
Bayer Cropscience Ltd,BAYERCROP,"Fertilizers & Agro Chemicals","20451.797806439998"
Kalpataru Projects International Ltd,KPIL,"Power Infrastructure","20426.10422706"
CreditAccess Grameen Ltd,CREDITACC,"Consumer Finance","20195.6934308"
Anant Raj Ltd,ANANTRAJ,"Real Estate","19960.57392245"
Onesource Specialty Pharma Ltd,ONESOURCE,"Biotechnology","19949.2721776"
Sundram Fasteners Ltd,SUNDRMFAST,"Auto Parts","19588.1666514"
KEC International Ltd,KEC,"Construction & Engineering","19487.171"
Tata Chemicals Ltd,TATACHEM,"Diversified Chemicals","19437.9040114"
DCM Shriram Ltd,DCMSHRIRAM,"Diversified Chemicals","19257.42766718"
Neuland Laboratories Ltd,NEULANDLAB,"Pharmaceuticals","19216.6077442"
Kansai Nerolac Paints Ltd,KANSAINER,"Paints","19195.904727288"
Castrol India Ltd,CASTROLIND,"Commodity Chemicals","19137.539885632"
Punjab & Sind Bank,PSB,"Public Banks","19044.550730479998"
E I D-Parry (India) Ltd,EIDPARRY,"Sugar","19009.25726579"
Prime Focus Ltd,PFOCUS,"Animation","19002.456514936"
Kfin Technologies Ltd,KFINTECH,"Business Support Services","18975.431166579998"
Chambal Fertilisers and Chemicals Ltd,CHAMBLFERT,"Fertilizers & Agro Chemicals","18970.88626295"
Chalet Hotels Ltd,CHALET,"Hotels, Resorts & Cruise Lines","18956.07864996"
Sai Life Sciences Ltd,SAILIFE,"Biotechnology","18858.219451365"
Bikaji Foods International Ltd,BIKAJI,"FMCG - Foods","18779.4176874"
Gujarat Mineral Development Corporation Ltd,GMDCLTD,"Mining - Diversified","18730.2"
RBL Bank Ltd,RBLBANK,"Private Banks","18715.270225675"
Cube Highways Trust,CUBEINVIT,"Roads","18682.5696918"
Aditya Birla Real Estate Ltd,ABREL,"Textiles","18589.17035088"
Urban Company Ltd,URBANCO,"Online Services","18568.04686596"
Computer Age Management Services Ltd,CAMS,"Diversified Financials","18544.0795488"
Kirloskar Oil Engines Ltd,KIRLOSENG,"Industrial Machinery","18454.18294972"
Sarda Energy & Minerals Ltd,SARDAEN,"Iron & Steel","18434.82614005"
Century Plyboards (India) Ltd,CENTURYPLY,"Wood Products","18371.4845431"
Choice International Ltd,CHOICEIN,"Investment Banking & Brokerage","18323.367125"
Tbo Tek Ltd,TBOTEK,"Tour & Travel Services","18095.98701768"
Devyani International Ltd,DEVYANI,"Restaurants & Cafes","17856.922262844"
Netweb Technologies India Ltd,NETWEB,"IT Services & Consulting","17832.371491679998"
Atul Ltd,ATUL,"Diversified Chemicals","17807.84551175"
Poly Medicure Ltd,POLYMED,"Health Care Equipment & Supplies","17806.8352032"
Aditya Infotech Ltd,CPPLUS,"Electronic Equipments","17664.665455320002"
Craftsman Automation Ltd,CRAFTSMAN,"Industrial Machinery","17604.22747485"
Schneider Electric Infrastructure Ltd,SCHNEIDER,"Heavy Electrical Equipments","17378.0812638"
Grindwell Norton Ltd,GRINDWELL,"Industrial Machinery","17344.288"
Triveni Turbine Ltd,TRITURBINE,"Heavy Electrical Equipments","17318.4439896"
Capri Global Capital Ltd,CGCL,"Consumer Finance","17192.729146978"
Allied Blenders and Distillers Ltd,ABDL,"Alcoholic Beverages","17161.616314605"
Jubilant Pharmova Ltd,JUBLPHARMA,"Pharmaceuticals","17008.09104978"
Godawari Power and Ispat Ltd,GPIL,"Iron & Steel","16913.003847408"
BASF India Ltd,BASF,"Diversified Chemicals","16853.6967904"
Amara Raja Energy & Mobility Ltd,ARE&M,"Batteries","16845.65450256"
Ventive Hospitality Ltd,VENTIVE,"Hotels, Resorts & Cruise Lines","16825.50514836"
Ircon International Ltd,IRCON,"Construction & Engineering","16807.95678954"
Alembic Pharmaceuticals Ltd,APLLTD,"Pharmaceuticals","16751.10942728"
Gujarat State Petronet Ltd,GSPL,"Gas Distribution","16748.614696560002"
Elitecon International Ltd,ELITECON,"FMCG - Tobacco","16736.295"
R R Kabel Ltd,RRKABEL,"Cables","16665.95555137"
PG Electroplast Ltd,PGEL,"Electronic Equipments","16578.43864752"
Crompton Greaves Consumer Electricals Ltd,CROMPTON,"Home Electronics & Appliances","16538.953564375"
Paradeep Phosphates Ltd,PARADEEP,"Fertilizers & Agro Chemicals","16508.896770045"
Vinati Organics Ltd,VINATIORGA,"Specialty Chemicals","16474.54223744"
Vertis Infrastructure Trust,VERTIS,"Roads","16473.92541818"
Zensar Technologies Ltd,ZENSARTECH,"IT Services & Consulting","16447.28519115"
Five-Star Business Finance Ltd,FIVESTAR,"Consumer Finance","16278.86919796"
Natco Pharma Ltd,NATCOPHARM,"Pharmaceuticals","16272.1316895"
Ratnamani Metals and Tubes Ltd,RATNAMANI,"Building Products - Pipes","16204.56948"
Maharashtra Scooters Ltd,MAHSCOOTER,"Two Wheelers","16162.2808656"
Carborundum Universal Ltd,CARBORUNIV,"Industrial Machinery","16149.9788672"
Signatureglobal (India) Ltd,SIGNATURE,"Real Estate","15998.54727726"
Belrise Industries Ltd,BELRISE,"Auto Parts","15963.542825288001"
Dr. Agarwal's Health Care Ltd,AGARWALEYE,"Hospitals & Diagnostic Centres","15940.594000739999"
LMW Ltd,LMW,"Industrial Machinery","15899.5089"
Deepak Fertilisers and Petrochemicals Corp Ltd,DEEPAKFERT,"Fertilizers & Agro Chemicals","15841.58465925"
JSW Cement Ltd,JSWCEMENT,"Cement","15840.929661535998"
Sobha Ltd,SOBHA,"Real Estate","15822.878335029998"
Nava Limited,NAVA,"Iron & Steel","15716.475862660001"
Great Eastern Shipping Company Ltd,GESHIP,"Oil & Gas - Storage & Transportation","15657.274546870001"
BEML Ltd,BEML,"Rail","15633.3453"
Doms Industries Ltd,DOMS,"Stationery","15608.9049892"
CEAT Ltd,CEATLTD,"Tires & Rubber","15581.68969176"
Kajaria Ceramics Ltd,KAJARIACER,"Building Products - Ceramics","15521.0846605"
Travel Food Services Ltd,TRAVELFOOD,"Airports","15415.71719188"
RRP Semiconductor Ltd,RRP,"Electronic Equipments","15226.70938"
Ola Electric Mobility Ltd,OLAELEC,"Two Wheelers","15184.984038378"
Reliance Power Ltd,RPOWER,"Power Generation","15112.107109764002"
Anupam Rasayan India Ltd,ANURAS,"Specialty Chemicals","15037.0847848"
Data Patterns (India) Ltd,DATAPATTNS,"Aerospace & Defense Equipments","14991.387218820002"
Granules India Ltd,GRANULES,"Pharmaceuticals","14981.15318226"
Aditya Birla Lifestyle Brands Ltd,ABLBL,"Retail - Apparel","14968.903690160001"
Nippon India ETF Nifty Bank BeES,BANKBEES,"Equity","14968.75469825"
CIE Automotive India Ltd,CIEINDIA,"Auto Parts","14918.425475525"
Jupiter Wagons Ltd,JWL,"Rail","14853.257869695"
Gabriel India Ltd,GABRIEL,"Auto Parts","14782.3978654"
JBM Auto Ltd,JBMA,"Auto Parts","14721.767934"
Swan Corp Ltd,SWANCORP,"Textiles","14666.647695939999"
Elgi Equipments Ltd,ELGIEQUIP,"Industrial Machinery","14610.67828584"
Tega Industries Ltd,TEGA,"Industrial Machinery","14580.78362784"
Caplin Point Laboratories Ltd,CAPLIPOINT,"Pharmaceuticals","14562.32071968"
Leela Palaces Hotels & Resorts Ltd,THELEELA,"Hotels, Resorts & Cruise Lines","14517.148956660001"
International Gemmological Institute (India) Ltd,IGIL,"Education Services","14477.349816"
UTI Asset Management Company Ltd,UTIAMC,"Asset Management","14450.0750597"
Canara HSBC Life Insurance Company Ltd,CANHLIFE,"Insurance","14405.8"
IFCI Ltd,IFCI,"Specialized Finance","14393.027156201999"
Afcons Infrastructure Ltd,AFCONS,"Construction & Engineering","14341.761685845002"
V Guard Industries Ltd,VGUARD,"Electrical Components & Equipments","14299.013820029999"
Jain Resource Recycling Ltd,JAINREC,"Metals - Diversified","14226.16268215"
Akzo Nobel India Ltd,AKZOINDIA,"Specialty Chemicals","14225.88328732"
Syrma SGS Technology Ltd,SYRMA,"Electronic Equipments","14213.71479045"
IndiGrid Infrastructure Trust,INDIGRID,"Power Transmission & Distribution","14095.686106320001"
Aptus Value Housing Finance India Ltd,APTUS,"Home Financing","14065.30165424"
Vedant Fashions Ltd,MANYAVAR,"Textiles","14063.283201639999"
Shriram Pistons & Rings Ltd,SHRIPISTON,"Auto Parts","14058.941827839999"
Concord Biotech Ltd,CONCORDBIO,"Pharmaceuticals","14018.571336"
ACME Solar Holdings Ltd,ACMESOLAR,"Renewable Energy","14005.220334048001"
LT Foods Ltd,LTFOODS,"Packaged Foods","13923.10678968"
Niva Bupa Health Insurance Company Ltd,NIVABUPA,"Insurance","13916.131041914"
Intellect Design Arena Ltd,INTELLECT,"Software Services","13811.734902679998"
Brainbees Solutions Ltd,FIRSTCRY,"Retail - Apparel","13799.124386320002"
JM Financial Ltd,JMFINANCIL,"Investment Banking & Brokerage","13798.970311517001"
Cemindia Projects Ltd,CEMPRO,"Construction & Engineering","13714.661768639999"
Trident Ltd,TRIDENT,"Textiles","13696.38324096"
Minda Corporation Ltd,MINDACORP,"Auto Parts","13681.52975643"
India Cements Ltd,INDIACEM,"Cement","13675.763480130001"
Rainbow Children's Medicare Ltd,RAINBOW,"Hospitals & Diagnostic Centres","13659.706482"
Gravita India Ltd,GRAVITA,"Metals - Lead","13657.62900608"
Aarti Industries Ltd,AARTIIND,"Specialty Chemicals","13648.03322916"
JK Tyre & Industries Ltd,JKTYRE,"Tires & Rubber","13633.866443385"
Acutaas Chemicals Ltd,ACUTAAS,"Biotechnology","13532.47775538"
Zydus Wellness Ltd,ZYDUSWELL,"FMCG - Foods","13502.7409568"
Usha Martin Ltd,USHAMART,"Iron & Steel","13487.06362035"
Indiamart Intermesh Ltd,INDIAMART,"Online Services","13313.12539158"
KSB Ltd,KSB,"Industrial Machinery","13226.98072"
Nuvoco Vistas Corporation Ltd,NUVOCO,"Cement","13198.705634115"
Nippon India ETF Gold BeES,GOLDBEES,"Gold","13197.557748053"
Bls International Services Ltd,BLS,"Outsourced services","13182.3477412"
Cartrade Tech Ltd,CARTRADE,"Online Services","13169.2462881"
Blue Dart Express Ltd,BLUEDART,"Logistics","12915.1144762"
Fine Organic Industries Ltd,FINEORG,"Specialty Chemicals","12885.77471328"
Cupid Ltd,CUPID,"FMCG - Personal Products","12872.999363"
Bombay Burmah Trading Corporation, Ltd,BBTC,"Tea & Coffee","12816.400311"
Lemon Tree Hotels Ltd,LEMONTREE,"Hotels, Resorts & Cruise Lines","12794.673892433999"
Privi Speciality Chemicals Ltd,PRIVISCL,"Specialty Chemicals","12750.84849252"
Emmvee Photovoltaic Power Ltd,EMMVEE,"Renewable Energy Equipment & Services","12737.763917134"
Kirloskar Brothers Ltd,KIRLOSBROS,"Industrial Machinery","12719.72176668"
Vardhman Textiles Ltd,VTL,"Textiles","12713.912712675"
Welspun Living Ltd,WELSPUNLIV,"Textiles","12669.085378098"
SKF India (Industrial) Ltd,SKFINDUS,"Industrial Machinery","12653.15225022"
Techno Electric & Engineering Company Ltd,TECHNOE,"Construction & Engineering","12625.481753439999"
CCL Products (India) Ltd,CCL,"Tea & Coffee","12563.00550216"
Birlasoft Ltd,BSOFT,"IT Services & Consulting","12505.324551875"
Indegene Ltd,INDGN,"Business Support Services","12503.768416965"
Gallantt Ispat Ltd,GALLANTT,"Iron & Steel","12497.146546275"
Zen Technologies Ltd,ZENTEC,"Electronic Equipments","12360.992600880001"
Cyient Ltd,CYIENT,"Software Services","12357.57588966"
SBI Nifty 50 ETF,SETFNIF50,"Equity","12345.305856121"
Chennai Petroleum Corporation Ltd,CHENNPETRO,"Oil & Gas - Refining & Marketing","12335.075819"
Can Fin Homes Ltd,CANFINHOME,"Home Financing","12321.416956875"
Eureka Forbes Ltd,EUREKAFORB,"Home Electronics & Appliances","12314.78662932"
Bata India Ltd,BATAINDIA,"Footwear","12218.4705901"
NMDC Steel Ltd,NSLNISP,"Iron & Steel","12205.97336525"
Kotak Nifty Bank ETF,BANKNIFTY1,"Equity","12152.77204856"
RITES Ltd,RITES,"Business Support Services","12142.45435011"
Railtel Corporation of India Ltd,RAILTEL,"Communication & Networking","12139.495244775"
Titagarh Rail Systems Ltd,TITAGARH,"Rail","12090.3375222"
Supreme Petrochem Ltd,SPLPETRO,"Specialty Chemicals","12058.15105575"
Indian Energy Exchange Ltd,IEX,"Power Trading & Consultancy","12037.56872544"
Blackbuck Ltd,BLACKBUCK,"Logistics","12014.45540405"
PCBL Chemical Ltd,PCBL,"Commodity Chemicals","11971.0997267"
Cello World Ltd,CELLO,"FMCG - Household Products","11945.46263872"
Jaiprakash Power Ventures Ltd,JPPOWER,"Renewable Energy","11863.337229536999"
Newgen Software Technologies Ltd,NEWGEN,"Software Services","11853.08810944"
Sandur Manganese and Iron Ores Ltd,SANDUMA,"Mining - Manganese","11788.0417395"
Finolex Cables Ltd,FINCABLES,"Cables","11733.5065484"
Aavas Financiers Ltd,AAVAS,"Home Financing","11720.943013330001"
Home First Finance Company India Ltd,HOMEFIRST,"Home Financing","11592.6342986"
Tilaknagar Industries Ltd,TI,"Alcoholic Beverages","11544.113381625"
Engineers India Ltd,ENGINERSIN,"Construction & Engineering","11541.540129555"
Whirlpool of India Ltd,WHIRLPOOL,"Home Electronics & Appliances","11530.1119104"
SBFC Finance Ltd,SBFC,"Specialized Finance","11449.626803325"
Avanti Feeds Ltd,AVANTIFEED,"Packaged Foods & Meats","11390.81589615"
Graphite India Ltd,GRAPHITE,"Electrical Components & Equipments","11386.48961832"
Sammaan Capital Ltd,SAMMAANCAP,"Home Financing","11369.454051436"
Action Construction Equipment Ltd,ACE,"Heavy Machinery","11320.725824"
Le Travenues Technology Ltd,IXIGO,"Online Services","11252.34881942"
Rubicon Research Ltd,RUBICON,"Pharmaceuticals","11235.9710738"
Aether Industries Ltd,AETHER,"Specialty Chemicals","11227.66423597"
Mahanagar Gas Ltd,MGL,"Gas Distribution","11227.08224748"
Jubilant Ingrevia Ltd,JUBLINGREA,"Specialty Chemicals","11223.1789969"
Alivus Life Sciences Ltd,ALIVUS,"Pharmaceuticals","11129.65189056"
TD Power Systems Ltd,TDPOWERSYS,"Heavy Electrical Equipments","11100.6258198"
Safari Industries (India) Ltd,SAFARI,"Apparel & Accessories","10938.01620954"
Godrej Agrovet Ltd,GODREJAGRO,"Agro Products","10868.51145094"
Jammu and Kashmir Bank Ltd,J&KBANK,"Private Banks","10848.849625476"
HEG Ltd,HEG,"Electrical Components & Equipments","10802.8821294"
Elecon Engineering Company Ltd,ELECON,"Heavy Electrical Equipments","10737.5366505"
Shaily Engineering Plastics Ltd,SHAILY,"Industrial Machinery","10731.892868289999"
Prudent Corporate Advisory Services Ltd,PRUDENT,"Asset Management","10718.119118"
Ingersoll-Rand (India) Ltd,INGERRAND,"Industrial Machinery","10640.94144"
Vijaya Diagnostic Centre Ltd,VIJAYA,"Hospitals & Diagnostic Centres","10632.030876"
Azad Engineering Ltd,AZAD,"Renewable Energy Equipment & Services","10626.92581065"
Jindal SAW Ltd,JINDALSAW,"Building Products - Pipes","10584.594731244"
Sansera Engineering Ltd,SANSERA,"Auto Parts","10570.658647839999"
Finolex Industries Ltd,FINPIPE,"Building Products - Pipes","10499.588420805001"
Shipping Corporation of India Ltd,SCI,"Logistics","10475.8197349"
TSF Investments Ltd,TSFINV,"Investment Banking & Brokerage","10396.6816866"
Jyothy Labs Ltd,JYOTHYLAB,"FMCG - Household Products","10368.301718085"
Lumax AutoTechnologies Ltd,LUMAXTECH,"Auto Parts","10343.6133108"
Sanofi Consumer Healthcare India Ltd,SANOFICONR,"Pharmaceuticals","10304.13058902"
Ujjivan Small Finance Bank Ltd,UJJIVANSFB,"Private Banks","10279.669909450999"
Happy Forgings Ltd,HAPPYFORGE,"Heavy Machinery","10269.48075927"
Edelweiss Financial Services Ltd,EDELWEISS,"Diversified Financials","10238.001945708"
Sonata Software Ltd,SONATSOFTW,"IT Services & Consulting","10171.104299395"
Olectra Greentech Ltd,OLECTRA,"Electrical Components & Equipments","10159.95362586"
IIFL Capital Services Ltd,IIFLCAPS,"Diversified Financials","10110.9746746"
Relaxo Footwears Ltd,RELAXO,"Footwear","10037.20378752"
Thangamayil Jewellery Ltd,THANGAMAYL,"Precious Metals, Jewellery & Watches","9972.04479743"
Metropolis Healthcare Ltd,METROPOLIS,"Hospitals & Diagnostic Centres","9942.0472467"
NCC Ltd,NCC,"Construction & Engineering","9926.882402868"
INOX India Ltd,INOXINDIA,"Industrial Machinery","9887.77569"
Banco Products (India) Ltd,BANCOINDIA,"Auto Parts","9872.434446"
South Indian Bank Ltd,SOUTHBANK,"Private Banks","9850.968359867999"
PVR INOX Ltd,PVRINOX,"Theatres","9828.834196580001"
G R Infraprojects Ltd,GRINFRA,"Construction & Engineering","9808.61482473"
Tata Teleservices (Maharashtra) Ltd,TTML,"Telecom Services","9802.007623178"
Vesuvius India Ltd,VESUVIUS,"Industrial Machinery","9785.754972"
MedPlus Health Services Ltd,MEDPLUS,"Online Services","9759.270708560001"
Waaree Renewable Technologies Ltd,WAAREERTL,"Renewable Energy","9739.756941669999"
MMTC Ltd,MMTC,"Commodities Trading","9636"
JK Lakshmi Cement Ltd,JKLAKSHMI,"Cement","9632.366013339999"
Apollo Micro Systems Ltd,APOLLO,"Electronic Equipments","9559.3592322"
Latent View Analytics Ltd,LATENTVIEW,"IT Services & Consulting","9538.2069531"
ASK Automotive Ltd,ASKAUTOLTD,"Auto Parts","9531.84471"
Healthcare Global Enterprises Ltd,HCG,"Hospitals & Diagnostic Centres","9479.94343551"
Sanofi India Ltd,SANOFI,"Pharmaceuticals","9431.730627660001"
Black Box Ltd,BBOX,"Software Services","9384.74919396"
ESAB India Ltd,ESABINDIA,"Industrial Machinery","9379.736737"
Procter & Gamble Health Ltd,PGHL,"Pharmaceuticals","9369.5211699"
Clean Science and Technology Ltd,CLEAN,"Specialty Chemicals","9350.20638202"
Aequs Ltd,AEQUS,"Aerospace & Defense Equipments","9347.066954995"
Aditya Birla Fashion and Retail Ltd,ABFRL,"Retail - Apparel","9338.057024714"
Kama Holdings Ltd,KAMAHOLD,"Conglomerates","9324.237472"
Motilal Oswal NASDAQ 100 ETF,MON100,"Equity","9322.98925692"
SeQuent Scientific Ltd,SEQUENT,"Pharmaceuticals","9302.277014004"
Astra Microwave Products Ltd,ASTRAMICRO,"Communication & Networking","9298.91408352"
RHI Magnesita India Ltd,RHIM,"Cement","9285.33662009"
Varroc Engineering Ltd,VARROC,"Auto Parts","9260.383704"
KRBL Ltd,KRBL,"Packaged Foods & Meats","9254.018333560001"
Ramkrishna Forgings Ltd,RKFORGE,"Rail","9250.192481639999"
CE Info Systems Ltd,MAPMYINDIA,"Software Services","9183.3898203"
Blue Jet Healthcare Ltd,BLUEJET,"Pharmaceuticals","9178.05563675"
Genus Power Infrastructures Ltd,GENUSPOWER,"Electronic Equipments","9141.74293675"
Star Cement Ltd,STARCEMENT,"Cement","9125.585455026"
Jupiter Life Line Hospitals Ltd,JLHL,"Hospitals & Diagnostic Centres","9107.776116019999"
Lloyds Enterprises Ltd,LLOYDSENT,"Commodities Trading","9099.521719194001"
Time Technoplast Ltd,TIMETECHNO,"Plastic Products","9093.750951938"
Shakti Pumps (India) Ltd,SHAKTIPUMP,"Industrial Machinery","9070.367417325"
Vikram Solar Ltd,VIKRAMSOLR,"Renewable Energy Equipment & Services","8924.19235803"
HFCL Ltd,HFCL,"Telecom Equipments","8864.625041064"
Balrampur Chini Mills Ltd,BALRAMCHIN,"Sugar","8857.54612296"
Gujarat Pipavav Port Ltd,GPPL,"Ports","8847.91723282"
India Shelter Finance Corporation Ltd,INDIASHLTR,"Home Financing","8802.06594511"
Nazara Technologies Ltd,NAZARA,"Theme Parks & Gaming","8794.83966976"
SKF India Ltd,SKFINDIA,"Industrial Machinery","8793.03609918"
Jeena Sikho Lifecare Ltd,JSLL,"Pharmaceuticals","8790.5476256"
Zee Entertainment Enterprises Ltd,ZEEL,"TV Channels & Broadcasters","8760.89762982"
Triveni Engineering and Industries Ltd,TRIVENI,"Sugar","8758.10769968"
Honasa Consumer Ltd,HONASA,"FMCG - Personal Products","8734.55211993"
Embassy Developments Ltd,EMBDL,"Real Estate","8707.169424312"
V2 Retail Ltd,V2RETAIL,"Retail - Apparel","8705.3568687"
